var_name,new_name,type
agent_city,agent_city,str
agent_firm_name,agent_firm_name,str
agent_state,agent_state,str
case_number,case_number,str
case_received_date,case_received_date,str
case_status,case_status,str
class_of_admission,class_of_admission,str
decision_date,decision_date,str
employer_address_1,employer_address,str
employer_city,employer_city,str
employer_name,employer_name,str
employer_num_employees,employer_num_employees,float64
employer_postal_code,employer_postal_code,str
employer_state,employer_state,str
employer_yr_estab,employer_yr_estab,str
foreign_worker_info_birth_country,applicant_birth_country,str
foreign_worker_info_city,applicant_city,str
foreign_worker_info_education,applicant_education,str
foreign_worker_info_inst,applicant_uni,str
foreign_worker_info_major,applicant_major,str
foreign_worker_info_postal_code,applicant_postal_code,str
foreign_worker_info_state,applicant_state,str
job_info_education,job_education,str
job_info_experience,job_experience,bool
job_info_experience_num_months,job_experience_num_months,float64
job_info_major,job_major,str
job_info_work_city,job_city,str
job_info_work_postal_code,job_postal_code,str
job_info_work_state,job_state,str
preparer_info_emp_completed,preparer_info_completed,str
pw_amount_9089,wage,float64
pw_unit_of_pay_9089,pay_unit,str
refile,refile,bool
citizenship,citizenship,str
job_title,job_title,str
